,column,row,z_axis,cell_states
427,2343.0,7596.0,8.0,aCM1
428,2431.0,7596.0,20.0,aCM1
429,1983.0,7600.0,24.0,aCM1
430,2519.0,7612.0,8.0,aCM1
431,2207.0,7776.0,16.0,aCM1
432,2095.0,7860.0,4.0,aCM1
433,2715.0,7920.0,4.0,aCM1
434,2010.0,8849.0,24.0,aCM1
435,2030.0,8921.0,8.0,aCM1
436,2090.0,8977.0,0.0,aCM1
437,1954.0,9053.0,24.0,aCM1
438,2046.0,9057.0,8.0,aCM1
439,2074.0,9137.0,12.0,aCM1
440,2025.0,9406.0,11.0,aCM1
441,2093.0,9446.0,11.0,aCM1
442,2122.0,9740.0,11.0,aCM1
443,1975.0,10130.0,11.0,aCM1
444,2103.0,9909.0,7.0,aCM1
445,1943.0,10045.0,12.0,aCM1
446,2042.0,9206.0,4.0,aCM1
447,2014.0,9338.0,12.0,aCM1
448,2002.0,9406.0,12.0,aCM1
449,2018.0,9418.0,12.0,aCM1
450,2078.0,9430.0,8.0,aCM1
451,2010.0,9486.0,12.0,aCM1
452,2106.0,9494.0,12.0,aCM1
453,2070.0,9554.0,8.0,aCM1
454,2090.0,9610.0,8.0,aCM1
455,2062.0,9734.0,4.0,aCM1
456,2110.0,9746.0,12.0,aCM1
457,2018.0,9762.0,4.0,aCM1
458,2010.0,9794.0,4.0,aCM1
459,2090.0,9874.0,8.0,aCM1
460,2106.0,9950.0,8.0,aCM1
461,2150.0,9950.0,12.0,aCM1
462,2094.0,10110.0,12.0,aCM1
463,1950.0,10138.0,24.0,aCM1
464,3563.0,2710.0,19.0,aCM1
465,3477.0,2646.0,24.0,aCM1
466,3481.0,2650.0,16.0,aCM1
467,3701.0,2698.0,24.0,aCM3
468,3017.0,2758.0,24.0,aCM1
469,3309.0,2766.0,16.0,aCM3
470,3234.0,3573.0,19.0,aCM3
471,3178.0,3663.0,19.0,aCM3
472,2977.0,3137.0,19.0,aCM1
473,3144.0,3503.0,23.0,aCM1
474,3492.0,2794.0,8.0,aCM1
475,3424.0,2874.0,20.0,aCM1
476,2996.0,2886.0,24.0,aCM3
477,3068.0,2890.0,24.0,aCM3
478,3264.0,2894.0,16.0,aCM1
479,3108.0,2942.0,24.0,aCM1
480,3424.0,3038.0,12.0,aCM1
481,3276.0,3066.0,16.0,aCM3
482,3132.0,3086.0,24.0,aCM1
483,3616.0,3094.0,4.0,aCM1
484,2912.0,3142.0,24.0,aCM1
485,3376.0,3154.0,20.0,aCM3
486,3340.0,3170.0,8.0,aCM3
487,3492.0,3186.0,20.0,aCM3
488,2876.0,3194.0,12.0,aCM1
489,3536.0,3194.0,4.0,aCM1
490,3668.0,3274.0,24.0,aCM3
491,3020.0,3294.0,24.0,aCM3
492,2820.0,3350.0,20.0,aCM3
493,2940.0,3374.0,20.0,aCM1
494,3416.0,3378.0,8.0,aCM3
495,3148.0,3398.0,20.0,aCM1
496,3336.0,3410.0,12.0,aCM1
497,3540.0,3418.0,4.0,aCM1
498,2860.0,3430.0,16.0,aCM3
499,3612.0,3486.0,12.0,aCM1
500,3592.0,3530.0,24.0,aCM1
501,3044.0,3546.0,24.0,aCM3
502,3516.0,3630.0,12.0,aCM3
503,3252.0,3670.0,12.0,aCM1
504,3351.0,4004.0,23.0,aCM3
505,3412.0,3718.0,12.0,aCM1
506,2892.0,3770.0,12.0,aCM1
507,2984.0,3806.0,16.0,aCM1
508,3368.0,3826.0,8.0,aCM3
509,3632.0,3862.0,12.0,aCM3
510,3148.0,3870.0,4.0,aCM1
511,2816.0,3874.0,16.0,aCM1
512,3052.0,3930.0,24.0,aCM3
513,3476.0,3942.0,12.0,aCM3
514,2960.0,3970.0,16.0,aCM1
515,3008.0,3990.0,24.0,aCM1
516,3664.0,4046.0,8.0,aCM3
517,3272.0,4054.0,16.0,aCM3
518,2844.0,4106.0,24.0,aCM1
519,2896.0,4122.0,8.0,aCM3
520,3288.0,4126.0,12.0,aCM3
521,3624.0,4154.0,12.0,aCM3
522,3032.0,4162.0,20.0,aCM3
523,3380.0,4162.0,12.0,aCM1
524,3184.0,4186.0,24.0,aCM1
525,3352.0,4218.0,12.0,aCM5
526,3100.0,4234.0,16.0,aCM3
527,3652.0,4290.0,12.0,aCM1
528,3488.0,4298.0,16.0,aCM3
529,2916.0,4330.0,12.0,aCM1
530,3300.0,4334.0,8.0,aCM1
531,3156.0,4354.0,4.0,aCM3
532,2892.0,4406.0,20.0,aCM3
533,3336.0,4406.0,12.0,aCM1
534,3028.0,4438.0,20.0,aCM1
535,3456.0,4442.0,8.0,aCM1
536,3584.0,4466.0,4.0,aCM2
537,3220.0,4502.0,16.0,aCM1
538,3660.0,4570.0,16.0,aCM3
539,2898.0,5239.0,11.0,aCM1
540,3325.0,5010.0,15.0,aCM1
541,3677.0,5174.0,15.0,aCM1
542,3373.0,4630.0,19.0,aCM1
543,3361.0,4757.0,11.0,aCM3
544,2856.0,4934.0,15.0,aCM3
545,3097.0,4929.0,23.0,aCM3
546,2941.0,5222.0,19.0,aCM3
547,3155.0,4592.0,24.0,aCM1
548,3463.0,4684.0,8.0,aCM3
549,3175.0,4720.0,20.0,aCM3
550,3543.0,4724.0,12.0,aCM3
551,3607.0,4832.0,12.0,aCM1
552,3331.0,4900.0,8.0,aCM3
553,3127.0,5008.0,20.0,aCM3
554,3207.0,5008.0,8.0,aCM3
555,3503.0,5008.0,20.0,aCM1
556,3447.0,5016.0,20.0,aCM1
557,3019.0,5040.0,12.0,aCM1
558,3671.0,5064.0,12.0,aCM3
559,2923.0,5072.0,24.0,aCM3
560,2979.0,5076.0,12.0,aCM1
561,3275.0,5148.0,20.0,aCM1
562,3359.0,5148.0,16.0,aCM1
563,3067.0,5208.0,8.0,aCM3
564,2851.0,5248.0,12.0,aCM1
565,3171.0,5256.0,8.0,aCM3
566,3319.0,5296.0,16.0,aCM1
567,3295.0,5340.0,24.0,aCM1
568,3359.0,5344.0,24.0,aCM1
569,3467.0,5364.0,4.0,aCM1
570,2959.0,5392.0,24.0,aCM1
571,2923.0,5420.0,4.0,aCM1
572,3039.0,5436.0,12.0,aCM3
573,3687.0,5448.0,24.0,aCM3
574,3448.0,5998.0,11.0,aCM3
575,2996.0,5828.0,19.0,aCM3
576,3666.0,5784.0,23.0,aCM3
577,3351.0,5655.0,7.0,aCM3
578,3121.0,5702.0,15.0,aCM1
579,2960.0,5654.0,19.0,aCM1
580,2836.0,5498.0,24.0,aCM1
581,3648.0,5498.0,16.0,aCM1
582,3088.0,5506.0,8.0,aCM1
583,3436.0,5542.0,4.0,aCM3
584,2920.0,5558.0,24.0,aCM3
585,3456.0,5642.0,12.0,aCM1
586,3684.0,5678.0,20.0,aCM3
587,3612.0,5682.0,24.0,aCM1
588,3072.0,5706.0,24.0,aCM1
589,2864.0,5726.0,12.0,aCM1
590,2836.0,5786.0,20.0,aCM4
591,3052.0,5802.0,24.0,aCM1
592,3460.0,5830.0,16.0,aCM1
593,3176.0,5974.0,4.0,aCM1
594,3620.0,5990.0,8.0,aCM1
595,3472.0,6042.0,16.0,aCM1
596,3080.0,6062.0,12.0,aCM1
597,3672.0,6098.0,8.0,aCM3
598,3400.0,6234.0,8.0,aCM3
599,3128.0,6286.0,12.0,aCM3
600,3484.0,6314.0,8.0,aCM1
601,3360.0,6386.0,16.0,aCM1
602,2893.0,6604.0,11.0,aCM1
603,3312.0,6910.0,20.0,aCM1
604,3291.0,7058.0,7.0,aCM3
605,3471.0,7237.0,15.0,aCM1
606,3680.0,6474.0,20.0,aCM1
607,3576.0,6502.0,20.0,aCM1
608,3424.0,6510.0,8.0,aCM1
609,3328.0,6538.0,8.0,aCM3
610,3000.0,6550.0,12.0,aCM1
611,3328.0,6734.0,16.0,aCM1
612,3208.0,6742.0,12.0,aCM1
613,3236.0,6778.0,24.0,aCM1
614,3452.0,6798.0,12.0,aCM1
615,3552.0,6830.0,12.0,aCM1
616,3244.0,6890.0,12.0,aCM1
617,3312.0,6910.0,20.0,aCM1
618,3076.0,6950.0,8.0,aCM3
619,3184.0,6978.0,8.0,aCM1
620,3512.0,7010.0,4.0,aCM3
621,3700.0,7054.0,16.0,aCM1
622,3712.0,7170.0,4.0,aCM1
623,3116.0,7198.0,16.0,aCM1
624,3376.0,7250.0,16.0,aCM3
625,3696.0,7278.0,4.0,aCM3
626,3320.0,7298.0,8.0,aCM1
627,3436.0,7322.0,16.0,aCM1
628,3533.0,7740.0,2.0,aCM3
629,3179.0,7376.0,11.0,aCM1
630,3249.0,8108.0,12.0,aCM3
631,3095.0,7437.0,19.0,aCM3
632,3368.0,7763.0,19.0,aCM1
633,3553.0,7338.0,12.0,aCM3
634,3333.0,7358.0,12.0,aCM1
635,3653.0,7362.0,12.0,aCM1
636,3393.0,7394.0,4.0,aCM1
637,2989.0,7478.0,16.0,aCM1
638,3393.0,7570.0,12.0,aCM1
639,3117.0,7646.0,20.0,aCM1
640,2993.0,7650.0,16.0,aCM1
641,3225.0,7662.0,4.0,aCM3
642,3533.0,7670.0,12.0,aCM1
643,3685.0,7746.0,16.0,aCM3
644,3037.0,7750.0,16.0,aCM1
645,3705.0,7774.0,16.0,aCM1
646,3045.0,7842.0,4.0,aCM3
647,2917.0,7870.0,20.0,aCM3
648,3381.0,7874.0,16.0,aCM1
